[START]
INFO  2017-03-06 15:18:50,451 [Worker#STA_NP] TestScripts.BaseTestES - Setup test
INFO  2017-03-06 15:19:24,110 [Worker#STA_NP] TestScripts.BaseTestES - Click on the Signout button.
INFO  2017-03-06 15:19:39,648 [Worker#STA_NP] TestScripts.BaseTestES - Click on the Notifications Icon at top.
INFO  2017-03-06 15:19:45,207 [Worker#STA_NP] TestScripts.BaseTestES - Verify the User Recruited to Project short notification on the Notification Window.
INFO  2017-03-06 15:19:46,511 [Worker#STA_NP] TestScripts.BaseTestES - Click See All link.
INFO  2017-03-06 15:19:53,573 [Worker#STA_NP] TestScripts.BaseTestES - Verify the User Recruited to Project Notification on Notifications Page.
INFO  2017-03-06 15:19:54,637 [Worker#STA_NP] TestScripts.BaseTestES - Verify User Recruited to Project notification subject on the Notifications Page.
INFO  2017-03-06 15:19:58,924 [Worker#STA_NP] TestScripts.BaseTestES - Click on the Signout button.
INFO  2017-03-06 15:20:17,303 [Worker#STA_NP] TestScripts.BaseTestES - Enter the project name.
INFO  2017-03-06 15:20:19,712 [Worker#STA_NP] TestScripts.BaseTestES - Click the prSearch button.
INFO  2017-03-06 15:20:35,393 [Worker#STA_NP] TestScripts.BaseTestES - Click the Project Name on the Projects Page.
INFO  2017-03-06 15:20:51,778 [Worker#STA_NP] TestScripts.BaseTestES - Teardown test
[END]
